Simulated Composition,Energy above convex hull (meV/atom)
"Ba7Ho1Fe8O24
",99.0662208891
"Ba6Ho2Fe8O24
",129.128414087
"Ba4Ho4Fe8O24
",254.265050483
"Ba2Ho6Fe8O24
",291.384615991
"Ba7La1Fe8O24
",66.0766101048
"Ba7La1Fe7Co1O24
",86.0496631495
"Ba7La1Fe6Co2O24
",97.0462161943
"Ba7La1Fe4Co4O24
",111.442293772
"Ba6La2Fe8O24
",60.3566925184
"Ba6La2Fe7Co1O24
",73.0199955631
"Ba6La2Fe6Co2O24
",89.7212986079
"Ba6La2Fe4Co4O24
",100.971120483
"Ba4La4Fe6Co2O24
",106.61645203
"Mg8Fe8O24
",636.339324716
"Ba7Mg1Fe8O24
",156.229729822
"Ba6Mg2Fe8O24
",236.664681953
"Ba4Mg4Fe8O24
",408.488586216
"Ba2Mg6Fe8O24
",515.805330466
"Nd8Fe8O24
",209.8692985
"Ba7Nd1Fe8O24
",71.9005615423
"Ba6Nd2Fe8O24
",73.9283453934
"Ba4Nd4Fe8O24
",122.389663096
"Ba2Nd6Fe8O24
",132.814980798
"Ba7Pr1Fe8O24
",68.6792013548
"Ba6Pr2Fe8O24
",67.1398750184
"Sm8Fe8O24
",272.8043925
"Ba7Sm1Fe8O24
",78.6712295423
"Ba6Sm2Fe8O24
",88.1149313934
"Ba4Sm4Fe8O24
",157.715585096
"Ba2Sm6Fe8O24
",178.235738798
"Sr8Fe8O24
",86.4303692157
"Ba7Sr1Fe8O24
",80.7377666536
"Ba6Sr2Fe8O24
",84.202505616
"Ba4Sr4Fe8O24
",92.5437335409
"Ba2Sr6Fe8O24
",89.5029614657
"Ba8Al8O24
",227.491284799
"Ba8Al1Fe7O24
",113.135302229
"Ba8Al2Fe6O24
",136.316076767
"Ba8Al4Fe4O24
",175.379625843
"Ba8Al6Fe2O24
",201.81756512
"Ba8Fe2Nb1Co5O24
",122.31135567
"Ba8Cu8O24
",274.349273966
"Ba8Fe7Cu1O24
",103.801110549
"Ba8Fe6Cu2O24
",134.180693408
"Ba8Fe4Cu4O24
",198.061859124
"Ba8Fe2Cu6O24
",237.521274841
"Ba8Ga8O24
",278.307781849
"Ba8Ga1Fe7O24
",102.036436282
"Ba8Ga2Fe6O24
",128.364344873
"Ba8Ga4Fe4O24
",182.740912055
"Ba8Ga6Fe2O24
",238.334229236
"Ba8Hf8O24
",8.216444
"Ba8Hf1Fe7O24
",73.4978297298
"Ba8Hf2Fe6O24
",71.4456317684
"Ba8Hf4Fe4O24
",63.3627358456
"Ba8Ir8O24
",163.297864937
"Ba8Fe7Ir1O24
",32.0094037038
"Ba8Fe6Ir2O24
",0.0
"Ba8Fe4Ir4O24
",0.0
"Ba8Mo8O24
",643.729766
"Ba8Fe7Mo1O24
",127.681884176
"Ba8Fe6Mo2O24
",179.258723131
"Ba8Fe4Mo4O24
",347.3831
"Ba8Nb8O24
",7.667046
"Ba8Nb1Fe7O24
",69.4361417684
"Ba8Nb2Fe6O24
",57.3220058456
"Ba8Os8O24
",92.4561079091
"Ba8Fe7Os1O24
",34.7342257044
"Ba8Fe6Os2O24
",29.459108777
"Ba8Fe4Os4O24
",0.0
"Ba8Pd8O24
",90.406833621
"Ba8Fe7Pd1O24
",75.8782445399
"Ba8Fe6Pd2O24
",69.2869613885
"Ba8Fe4Pd4O24
",41.601287871
"Ba8Pt8O24
",156.627930263
"Ba8Fe7Pt1O24
",63.6890316765
"Ba8Fe6Pt2O24
",49.3432856618
"Ba8Fe4Pt4O24
",9.7967661695
"Ba8Re8O24
",158.218632333
"Ba8Fe7Re1O24
",30.403271269
"Ba8Fe6Re2O24
",5.9009611652
"Ba8Fe4Re4O24
",0.678471
"Ba8Rh8O24
",114.525327049
"Ba8Fe7Rh1O24
",56.1529987529
"Ba8Fe6Rh2O24
",36.5282198147
"Ba8Fe4Rh4O24
",7.4876619381
"Ba8Ru8O24
",56.6738366667
"Ba8Fe7Ru1O24
",36.3631922476
"Ba8Fe6Ru2O24
",12.9458568039
"Ba8Fe4Ru4O24
",0.0
"Ba8Ta8O24
",50.0993
"Ba8Ta1Fe7O24
",54.2920320481
"Ba8Ta2Fe6O24
",27.313536405
"Ba8Ta4Fe4O24
",0.0
"Ba8Tc8O24
",15.621525
"Ba8Fe7Tc1O24
",0.0
"Ba8Fe6Tc2O24
",0.0
"Ba8Fe4Tc4O24
",0.0
"Ba8Y8O24
",141.664751466
"Ba8Y1Fe7O24
",73.8023139057
"Ba8Y2Fe6O24
",63.1512971348
"Ba8Y4Fe4O24
",64.5049606079
"Ba8Zn8O24
",357.160728765
"Ba8Zn1Fe7O24
",101.797990325
"Ba8Zn2Fe6O24
",128.57645296
"Ba8Zn4Fe4O24
",197.421378228
"Ba8Zn6Fe2O24
",261.724803496
"Ba8Zr8O24
",0.0
"Ba8Zr1Fe7O24
",64.6627457298
"Ba8Zr2Fe6O24
",53.5777137684
"Ba8Zr3Fe5O24
",40.029931807
"Ba8Zr4Fe4O24
",26.8896498456
"Ba8Zr6Fe2O24
",0.0
"Ba8Zr7Fe1O24
",0.0
"Ba8Zr6Fe1Co1O24
",19.4608832651
"Ba8Zr5Fe1Co2O24
",56.4799568664
"Ba8Zr3Fe1Co4O24
",74.586104069
"Ba8Zr6Fe1Cu1O24
",29.163207289
"Ba8Zr5Fe1Cu2O24
",78.0236106166
"Ba8Zr3Fe1Cu4O24
",149.611167272
"Ba8Hf1Zr6Fe1O24
",0.0
"Ba8Hf2Zr5Fe1O24
",0.0
"Ba8Hf4Zr3Fe1O24
",1.1676399614
"Ba8Zr6Fe1Mo1O24
",53.828979
"Ba8Zr5Fe1Mo2O24
",130.86141575
"Ba8Zr3Fe1Mo4O24
",307.83053925
"Ba8Zr6Nb1Fe1O24
",0.0
"Ba8Zr5Nb2Fe1O24
",0.0
"Ba8Zr3Nb4Fe1O24
",10.5881855
"Ba8Zr6Fe1Ni1O24
",22.6412638903
"Ba8Zr5Fe1Ni2O24
",66.1459738193
"Ba8Zr3Fe1Ni4O24
",140.134457153
"Ba8Zr6Ta1Fe1O24
",0.0
"Ba8Zr5Ta2Fe1O24
",0.0
"Ba8Zr3Ta4Fe1O24
",29.91808225
"Ba8Zr6Fe1W1O24
",80.30888725
"Ba8Zr6Zn1Fe1O24
",31.129048557
"Ba8Zr5Zn2Fe1O24
",79.3342931526
"Ba8Zr3Zn4Fe1O24
",177.633032344
"Ba8Hf4Ni4O24
",177.441803716
"Ba8Hf6Ni2O24
",96.8586983579
"Ba8Hf7Ni1O24
",51.8644461789
"Ba8Nb4Ni4O24
",70.3541023579
"Ba8Nb6Fe2O24
",236.699858667
"Ba8Nb7Ni1O24
",74.7720530417
"Ba8Ta4Ni4O24
",88.1834983579
"Ba8Ta6Ni2O24
",112.0035505
"Ba8Ta7Ni1O24
",127.239966608
"Ba8Zr4Ni4O24
",139.599683716
"Ba8Zr6Ni2O24
",50.4901918579
"Ba8Zr7Ni1O24
",0.0
"Ba4Sr4Al8O24
",212.302521091
"Ba4Sr4Al1Fe7O24
",127.825789025
"Ba4Sr4Al2Fe6O24
",149.85009451
"Ba4Sr4Al4Fe4O24
",198.106664217
"Ba4Sr4Al6Fe2O24
",206.158236245
"Ba4Sr4Cu8O24
",288.486562824
"Ba4Sr4Fe7Cu1O24
",119.77883703
"Ba4Sr4Fe6Cu2O24
",151.797440519
"Ba4Sr4Fe4Cu4O24
",218.946397498
"Ba4Sr4Fe2Cu6O24
",253.560445966
"Ba4Sr4Ga8O24
",289.712977799
"Ba4Sr4Ga1Fe7O24
",118.302657605
"Ba4Sr4Ga2Fe6O24
",145.197831669
"Ba4Sr4Ga4Fe4O24
",202.689679797
"Ba4Sr4Ga6Fe2O24
",251.771743647
"Ba4Sr4Zn8O24
",377.502008598
"Ba4Sr4Zn1Fe7O24
",119.774983252
"Ba4Sr4Zn2Fe6O24
",150.472708246
"Ba4Sr4Zn4Fe4O24
",219.402133514
"Ba4Sr4Zn6Fe2O24
",294.89317499
"Ba2La6Co8O24
",59.6349893815
"Ba4La4Co8O24
",117.650529858
"Ca2La6Co8O24
",50.0254523342
"Ca4La4Co8O24
",75.1559557631
"La6Dy2Co8O24
",59.5521104052
"La4Dy4Co8O24
",70.8357719052
"La6Gd2Co8O24
",0.0
"La4Gd4Co8O24
",0.0
Co8Ho2O24La6,0.0
"La4Ho4Co8O24
",71.2267570302
"La6Nd2Co8O24
",33.9191772177
"La4Nd4Co8O24
",41.1709055302
"La6Sm2Co8O24
",43.192815874
"La4Sm4Co8O24
",59.0546828427
"Sr2La6Co8O24
",33.1384553579
"Sr4La4Co8O24
",45.2159618105
"La8Cr1Co7O24
",34.4706557296
"La8Cr2Co6O24
",60.1231125539
"La8Fe1Co7O24
",40.9146349171
"La8Fe2Co6O24
",39.3315709289
"La8Mg1Co7O24
",0.0
"La8Mg2Co6O24
",0.0
"La8Mg4Co4O24
",0.0
"La8Mn1Co7O24
",27.9926398279
"La8Mn2Co6O24
",29.9490807506
"La8Co7Ni1O24
",48.9115430065
"La8Co6Ni2O24
",47.0181371079
"La8Co4Ni4O24
",55.7153253105
"La8Co8O24
",25.8389489052
"Ba2La6Cr8O24
",16.6684097187
"Ba4La4Cr8O24
",62.1679659375
"Ca2La6Cr8O24
",0.0
"Ca4La4Cr8O24
",0.2039726667
"La4Dy4Cr8O24
",0.0
"La6Gd2Cr8O24
",0.0
"La4Gd4Cr8O24
",0.0
"La6Ho2Cr8O24
",0.0
"La4Ho4Cr8O24
",0.0
"La6Nd2Cr8O24
",0.0
"La4Nd4Cr8O24
",0.0
"La6Sm2Cr8O24
",0.0
"La4Sm4Cr8O24
",0.0
"Sr2La6Cr8O24
",0.0
"Sr4La4Cr8O24
",4.514301375
"La8Cr7Co1O24
",0.0
"La8Cr6Co2O24
",0.0
"La8Cr4Co4O24
",0.0
"La8Cr7Fe1O24
",0.0
"La8Cr6Fe2O24
",0.0
"La8Mg1Cr7O24
",0.0
"La8Mg2Cr6O24
",0.0
"La8Mg4Cr4O24
",0.0
"La8Mn1Cr7O24
",0.0
"La8Mn2Cr6O24
",0.0
"La8Mn4Cr4O24
",0.0
"La8Cr7Ni1O24
",0.0
"La8Cr6Ni2O24
",0.0
"La8Cr4Ni4O24
",0.0
"La8Cr8O24
",0.0
"Ba2La6Fe8O24
",0.0
"Ba4La4Fe8O24
",3.6081073456
"Ca2La6Fe8O24
",0.0
"Ca4La4Fe8O24
",0.5934372329
"La6Dy2Fe8O24
",0.0
"La4Dy4Fe8O24
",0.0
"La6Gd2Fe8O24
",0.0
"La4Gd4Fe8O24
",0.0
"La6Ho2Fe8O24
",0.0
"La4Ho4Fe8O24
",0.0
"La6Nd2Fe8O24
",0.0
"La4Nd4Fe8O24
",0.0
"La6Sm2Fe8O24
",0.0
"La4Sm4Fe8O24
",0.0
"Sr2La6Fe8O24
",0.0
"Sr4La4Fe8O24
",0.0
"La8Fe7Co1O24
",0.0
"La8Fe6Co2O24
",0.0
"La8Fe4Co4O24
",1.9209429526
"La8Cr1Fe7O24
",0.0
"La8Cr2Fe6O24
",19.901478625
"La8Cr4Fe4O24
",0.0
"La8Mg1Fe7O24
",0.0
"La8Mg2Fe6O24
",0.0
"La8Mg4Fe4O24
",0.0
"La8Mn1Fe7O24
",0.0
"La8Mn2Fe6O24
",27.030439173
"La8Mn4Fe4O24
",0.0
"La8Fe7Ni1O24
",0.0
"La8Fe6Ni2O24
",0.0
"La8Fe4Ni4O24
",0.0
"La8Fe8O24
",0.0
"Ba2La6Ga8O24
",94.5062097102
"Ba4La4Ga8O24
",169.769380462
"Ca2La6Ga8O24
",73.9741468307
"Ca4La4Ga8O24
",139.370003947
"La6Dy2Ga8O24
",25.3695907381
"La4Dy4Ga8O24
",32.0782685125
"La6Gd2Ga8O24
",85.9609736131
"La4Gd4Ga8O24
",89.2356505937
"La6Ho2Ga8O24
",26.8282538631
"La4Ho4Ga8O24
",33.56831065
"La6Nd2Ga8O24
",12.6328149464
"La4Nd4Ga8O24
",15.4429064062
"La6Sm2Ga8O24
",17.3373103214
"La4Sm4Ga8O24
",22.3715508958
"Sr2La6Ga8O24
",75.3897667571
"Sr4La4Ga8O24
",135.168012577
"La8Ga7Co1O24
",11.847970823
"La8Ga6Co2O24
",16.5750555745
"La8Ga4Co4O24
",26.3184750776
"La8Cr1Ga7O24
",1.747132
"La8Cr2Ga6O24
",0.0
"La8Mn4Ga4O24
",0.0
"La8Ga7Fe1O24
",0.0
"La8Ga6Fe2O24
",0.0
"La8Ga4Fe4O24
",0.0
"La8Mg1Ga7O24
",34.9408400761
"La8Mg2Ga6O24
",60.3605981789
"La8Mg4Ga4O24
",108.224668483
"La8Mn1Ga7O24
",33.436112274
"La8Mn2Ga6O24
",7.7455884766
"La8Ga7Ni1O24
",25.1748038261
"La8Ga6Ni2O24
",40.6187326789
