composition,energy,atoms,e_per_atom,oxides,oxide_e_per_atom,e_per_atom-sum(oxide_e_per_atom)
O24Sr4Ba4Ga8,-233.053,40.0,-5.826325,"['Sr-O', 'Ba-O', 'Ga-O']",-18.001574717,12.175249717
O24Sr4Ba4Ga1Fe7,-249.25366,40.0,-6.2313415,"['Sr-O', 'Ba-O', 'Ga-O', 'Fe-O']",-24.718414944000003,18.487073444000004
O24Sr4Ba4Ga2Fe6,-246.95209,40.0,-6.17380225,"['Sr-O', 'Ba-O', 'Ga-O', 'Fe-O']",-24.718414944000003,18.544612694
O24Sr4Ba4Ga4Fe4,-242.20089,40.0,-6.0550222499999995,"['Sr-O', 'Ba-O', 'Ga-O', 'Fe-O']",-24.718414944000003,18.663392694000002
O24Sr4Ba4Ga6Fe2,-237.61763,40.0,-5.94044075,"['Sr-O', 'Ba-O', 'Ga-O', 'Fe-O']",-24.718414944000003,18.777974194000002
Sr4Zn8Ba4O24,-198.72797,40.0,-4.96819925,"['Sr-O', 'Zn-O', 'Ba-O']",-16.5161774225,11.5479781725
Sr4Zn1Ba4O24Fe7,-245.32827,40.0,-6.13320675,"['Sr-O', 'Zn-O', 'Ba-O', 'Fe-O']",-23.2330176495,17.0998108995
Sr4Zn2Ba4O24Fe6,-239.00304,40.0,-5.975076,"['Sr-O', 'Zn-O', 'Ba-O', 'Fe-O']",-23.2330176495,17.257941649499998
Sr4Zn4Ba4O24Fe4,-226.04616,40.0,-5.651154,"['Sr-O', 'Zn-O', 'Ba-O', 'Fe-O']",-23.2330176495,17.5818636495
Sr4Zn6Ba4O24Fe2,-212.7189,40.0,-5.3179725,"['Sr-O', 'Zn-O', 'Ba-O', 'Fe-O']",-23.2330176495,17.9150451495
Sr1Mg2O24Ga6La7,-278.49792,40.0,-6.962448,"['Sr-O', 'Mg-O', 'Ga-O', 'La-O']",-26.476882115,19.514434115
Co8Ba2O24La6,-274.91421,40.0,-6.872855250000001,"['Co-O', 'Ba-O', 'La-O']",-20.398644998,13.525789748000001
Co8Ba4O24La4,-260.90582,40.0,-6.5226455,"['Co-O', 'Ba-O', 'La-O']",-20.398644998,13.875999498000002
Ca2Co8O24La6,-276.26387,40.0,-6.90659675,"['Ca-O', 'Co-O', 'La-O']",-20.924314063,14.017717313
Ca4Co8O24La4,-264.53616,40.0,-6.613404,"['Ca-O', 'Co-O', 'La-O']",-20.924314063,14.310910063000001
Dy2Co8O24La6,-286.62542,40.0,-7.1656355000000005,"['Dy-O', 'Co-O', 'La-O']",-22.893956923,15.728321423
Dy4Co8O24La4,-286.1942,40.0,-7.154855,"['Dy-O', 'Co-O', 'La-O']",-22.893956923,15.739101923
Gd2Co8O24La6,-321.02834,40.0,-8.0257085,"['Gd-O', 'Co-O', 'La-O']",-26.569593706,18.543885206
Gd4Co8O24La4,-338.86188,40.0,-8.471547,"['Gd-O', 'Co-O', 'La-O']",-26.569593706,18.098046705999998
Co8Ho2O24La6,-302.5486,40.0,-7.563715,"['Co-O', 'Ho-O', 'La-O']",-22.9082608635,15.3445458635
Co8Ho4O24La4,-286.3216,40.0,-7.15804,"['Co-O', 'Ho-O', 'La-O']",-22.9082608635,15.750220863500001
Co8Nd2O24La6,-286.8328,40.0,-7.170820000000001,"['Co-O', 'Nd-O', 'La-O']",-22.7303694575,15.5595494575
Co8Nd4O24La4,-285.74492,40.0,-7.143623,"['Co-O', 'Nd-O', 'La-O']",-22.7303694575,15.5867464575
Co8O24Sm2La6,-286.76479,40.0,-7.16911975,"['Co-O', 'Sm-O', 'La-O']",-22.79095656675,15.621836816750001
Co8O24Sm4La4,-285.63544,40.0,-7.140886,"['Co-O', 'Sm-O', 'La-O']",-22.79095656675,15.650070566750001
Sr2Co8O24La6,-275.76869,40.0,-6.89421725,"['Sr-O', 'Co-O', 'La-O']",-20.537375703000002,13.643158453000002
Sr4Co8O24La4,-263.39244,40.0,-6.584811,"['Sr-O', 'Co-O', 'La-O']",-20.537375703000002,13.952564703000002
Cr1Co7O24La8,-292.70354,40.0,-7.317588499999999,"['Cr-O', 'Co-O', 'La-O']",-22.424071852,15.106483352000001
Cr2Co6O24La8,-296.77243,40.0,-7.419310749999999,"['Cr-O', 'Co-O', 'La-O']",-22.424071852,15.004761102000002
Cr4Co4O24La8,-307.365,40.0,-7.684125,"['Cr-O', 'Co-O', 'La-O']",-22.424071852,14.739946852000001
Co7Fe1O24La8,-289.28191,40.0,-7.2320477499999996,"['Co-O', 'Fe-O', 'La-O']",-21.201912710000002,13.969864960000002
Co6Fe2O24La8,-291.27635,40.0,-7.2819087499999995,"['Co-O', 'Fe-O', 'La-O']",-21.201912710000002,13.920003960000003
Co4Fe4O24La8,-294.63298,40.0,-7.3658244999999996,"['Co-O', 'Fe-O', 'La-O']",-21.201912710000002,13.836088210000003
Mg1Co7O24La8,-301.45447,40.0,-7.53636175,"['Mg-O', 'Co-O', 'La-O']",-20.469093248,12.932731497999999
Mg2Co6O24La8,-299.50356,40.0,-7.487589,"['Mg-O', 'Co-O', 'La-O']",-20.469093248,12.981504248
Mg4Co4O24La8,-295.21834,40.0,-7.3804585000000005,"['Mg-O', 'Co-O', 'La-O']",-20.469093248,13.088634748
Mn1Co7O24La8,-292.27687,40.0,-7.306921749999999,"['Mn-O', 'Co-O', 'La-O']",-22.341340973,15.034419223000002
Mn2Co6O24La8,-296.60781,40.0,-7.415195249999999,"['Mn-O', 'Co-O', 'La-O']",-22.341340973,14.926145723000001
Mn4Co4O24La8,-305.26503,40.0,-7.63162575,"['Mn-O', 'Co-O', 'La-O']",-22.341340973,14.709715223
Ni1Co7O24La8,-284.40688,40.0,-7.110172,"['Ni-O', 'Co-O', 'La-O']",-19.342496663,12.232324662999998
Ni2Co6O24La8,-281.85858,40.0,-7.046464500000001,"['Ni-O', 'Co-O', 'La-O']",-19.342496663,12.296032162999998
Ni4Co4O24La8,-276.26262,40.0,-6.906565500000001,"['Ni-O', 'Co-O', 'La-O']",-19.342496663,12.435931162999998
Co8O24La8,-287.95382,40.0,-7.1988455,"['Co-O', 'La-O']",-14.485072483,7.286226983
Cr8Ba2O24La6,-317.26204,40.0,-7.931551000000001,"['Cr-O', 'Ba-O', 'La-O']",-22.257431032,14.325880031999999
Cr8Ba4O24La4,-303.62355,40.0,-7.59058875,"['Cr-O', 'Ba-O', 'La-O']",-22.257431032,14.666842282
Cr8Ca2O24La6,-319.5494,40.0,-7.988735,"['Cr-O', 'Ca-O', 'La-O']",-22.783100097,14.794365096999998
Cr8Ca4O24La4,-307.79912,40.0,-7.694978000000001,"['Cr-O', 'Ca-O', 'La-O']",-22.783100097,15.088122096999998
Cr8Dy2O24La6,,40.0,,"['Cr-O', 'Dy-O', 'La-O']",-24.752742957,
Cr8Dy4O24La4,-329.71563,40.0,-8.242890749999999,"['Cr-O', 'Dy-O', 'La-O']",-24.752742957,16.509852207
Cr8Gd2O24La6,-363.09999,40.0,-9.07749975,"['Cr-O', 'Gd-O', 'La-O']",-28.428379739999997,19.350879989999996
Cr8Gd4O24La4,-381.22132,40.0,-9.530533,"['Cr-O', 'Gd-O', 'La-O']",-28.428379739999997,18.89784674
Cr8Ho2O24La6,-330.00016,40.0,-8.250004,"['Cr-O', 'Ho-O', 'La-O']",-24.7670468975,16.517042897499998
Cr8Ho4O24La4,-329.68716,40.0,-8.242179,"['Cr-O', 'Ho-O', 'La-O']",-24.7670468975,16.5248678975
Cr8Nd2O24La6,-329.89464,40.0,-8.247366,"['Cr-O', 'Nd-O', 'La-O']",-24.5891554915,16.341789491500002
Cr8Nd4O24La4,-329.09124,40.0,-8.227281000000001,"['Cr-O', 'Nd-O', 'La-O']",-24.5891554915,16.3618744915
Cr8O24Sm2La6,-330.00741,40.0,-8.25018525,"['Cr-O', 'Sm-O', 'La-O']",-24.64974260075,16.39955735075
Cr8O24Sm4La4,-329.39561,40.0,-8.23489025,"['Cr-O', 'Sm-O', 'La-O']",-24.64974260075,16.41485235075
Sr2Cr8O24La6,-318.14472,40.0,-7.9536180000000005,"['Sr-O', 'Cr-O', 'La-O']",-22.396161737,14.442543737
Sr4Cr8O24La4,-305.79171,40.0,-7.644792750000001,"['Sr-O', 'Cr-O', 'La-O']",-22.396161737,14.751368987
Cr7Co1O24La8,-325.48144,40.0,-8.137036,"['Cr-O', 'Co-O', 'La-O']",-22.424071852,14.287035852
Cr6Co2O24La8,-320.07442,40.0,-8.0018605,"['Cr-O', 'Co-O', 'La-O']",-22.424071852,14.422211352000001
Cr4Co4O24La8,-309.55062,40.0,-7.7387654999999995,"['Cr-O', 'Co-O', 'La-O']",-22.424071852,14.685306352000001
Cr7Fe1O24La8,-327.73566,40.0,-8.1933915,"['Cr-O', 'Fe-O', 'La-O']",-23.060698744,14.867307244
Cr6Fe2O24La8,-324.71268,40.0,-8.117816999999999,"['Cr-O', 'Fe-O', 'La-O']",-23.060698744,14.942881744000001
Cr4Fe4O24La8,-318.67645,40.0,-7.96691125,"['Cr-O', 'Fe-O', 'La-O']",-23.060698744,15.093787494
Cr7Mg1O24La8,-340.58929,40.0,-8.51473225,"['Cr-O', 'Mg-O', 'La-O']",-22.327879281999998,13.813147031999998
Cr6Mg2O24La8,-333.88998,40.0,-8.3472495,"['Cr-O', 'Mg-O', 'La-O']",-22.327879281999998,13.980629781999998
Cr4Mg4O24La8,-320.08532,40.0,-8.002133,"['Cr-O', 'Mg-O', 'La-O']",-22.327879281999998,14.325746281999997
Cr7Mn1O24La8,-329.47457,40.0,-8.23686425,"['Cr-O', 'Mn-O', 'La-O']",-24.200127007,15.963262756999999
Cr6Mn2O24La8,-328.28182,40.0,-8.2070455,"['Cr-O', 'Mn-O', 'La-O']",-24.200127007,15.993081507
